service_id,date,exception_type
BFA21GEN-J052-Weekday-00_C47,20220323,2
BFA21GEN-J052-Weekday-00_C47,20220324,2
BFA21GEN-J052-Weekday-00_C47,20220530,2
BFA21GEN-L022-Saturday-00_C8,20211224,1
BFA21GEN-L022-Saturday-00_C8,20211231,1
BFA21GEN-L022-Saturday-00_C8,20220221,1
BFA21GEN-L022-Saturday-00_C8,20220319,2
BFA21GEN-L022-Sunday-00_C16,20220320,2
BFA21GEN-L022-Sunday-00_C16,20220530,1
BFA21GEN-L045-Weekday-00_C3,20211224,2
BFA21GEN-L045-Weekday-00_C3,20211231,2
BFA21GEN-L045-Weekday-00_C3,20220221,2
BFA21GEN-L045-Weekday-00_C3,20220316,2
BFA21GEN-L045-Weekday-00_C3,20220317,2
BFA21GEN-L045-Weekday-00_C3,20220318,2
BFA21GEN-L045-Weekday-00_C3,20220321,2
BFA21GEN-L045-Weekday-00_C3,20220322,2
BFA21GEN-L045-Weekday-00_C3,20220323,2
BFA21GEN-L045-Weekday-00_C3,20220324,2
BFA21GEN-L045-Weekday-00_C3,20220530,2
BFA21GEN-M023-Sunday-00_C2,20220320,2
BFA21GEN-M023-Sunday-00_C2,20220530,1
BFA21GEN-M024-Saturday-00_C11,20211224,1
BFA21GEN-M024-Saturday-00_C11,20211231,1
BFA21GEN-M024-Saturday-00_C11,20220221,1
BFA21GEN-M024-Saturday-00_C11,20220319,2
BFA21GEN-M089-Weekday-00_C49,20211224,2
BFA21GEN-M089-Weekday-00_C49,20211231,2
BFA21GEN-M089-Weekday-00_C49,20220221,2
BFA21GEN-M089-Weekday-00_C49,20220316,2
BFA21GEN-M089-Weekday-00_C49,20220317,2
BFA21GEN-M089-Weekday-00_C49,20220318,2
BFA21GEN-M089-Weekday-00_C49,20220321,2
BFA21GEN-M089-Weekday-00_C49,20220322,2
BFA21GEN-M089-Weekday-00_C49,20220323,2
BFA21GEN-M089-Weekday-00_C49,20220324,2
BFA21GEN-M089-Weekday-00_C49,20220530,2
BFA21GEN-N056-Saturday-00_C44,20211224,1
BFA21GEN-N056-Saturday-00_C44,20211231,1
BFA21GEN-N056-Saturday-00_C44,20220221,1
BFA21GEN-N056-Saturday-00_C44,20220319,2
BFA21GEN-N059-Sunday-00_C23,20220320,2
BFA21GEN-N059-Sunday-00_C23,20220530,1
BFA21GEN-N095-Weekday-00_C39,20211224,2
BFA21GEN-N095-Weekday-00_C39,20211231,2
BFA21GEN-N095-Weekday-00_C39,20220221,2
BFA21GEN-N095-Weekday-00_C39,20220316,2
BFA21GEN-N095-Weekday-00_C39,20220317,2
BFA21GEN-N095-Weekday-00_C39,20220318,2
BFA21GEN-N095-Weekday-00_C39,20220321,2
BFA21GEN-N095-Weekday-00_C39,20220322,2
BFA21GEN-N095-Weekday-00_C39,20220323,2
BFA21GEN-N095-Weekday-00_C39,20220324,2
BFA21GEN-N095-Weekday-00_C39,20220530,2
BFA21GEN-Q021-Saturday-00,20211224,1
BFA21GEN-Q021-Saturday-00,20211231,1
BFA21GEN-Q021-Saturday-00,20220221,1
BFA21GEN-Q023-Sunday-00,20220530,1
BFA21GEN-Q064-Weekday-00_C1,20211224,2
BFA21GEN-Q064-Weekday-00_C1,20211231,2
BFA21GEN-Q064-Weekday-00_C1,20220221,2
BFA21GEN-Q064-Weekday-00_C1,20220316,2
BFA21GEN-Q064-Weekday-00_C1,20220317,2
BFA21GEN-Q064-Weekday-00_C1,20220318,2
BFA21GEN-Q064-Weekday-00_C1,20220321,2
BFA21GEN-Q064-Weekday-00_C1,20220322,2
BFA21GEN-Q064-Weekday-00_C1,20220323,2
BFA21GEN-Q064-Weekday-00_C1,20220324,2
BFA21GEN-Q064-Weekday-00_C1,20220530,2
BFA21GEN-R050-Sunday-00_C37,20220320,2
BFA21GEN-R050-Sunday-00_C37,20220530,1
BFA21GEN-R051-Saturday-00_C9,20211224,1
BFA21GEN-R051-Saturday-00_C9,20211231,1
BFA21GEN-R051-Saturday-00_C9,20220221,1
BFA21GEN-R051-Saturday-00_C9,20220319,2
BFA21GEN-R091-Weekday-00_C7,20211224,2
BFA21GEN-R091-Weekday-00_C7,20211231,2
BFA21GEN-R091-Weekday-00_C7,20220221,2
BFA21GEN-R091-Weekday-00_C7,20220316,2
BFA21GEN-R091-Weekday-00_C7,20220317,2
BFA21GEN-R091-Weekday-00_C7,20220318,2
BFA21GEN-R091-Weekday-00_C7,20220321,2
BFA21GEN-R091-Weekday-00_C7,20220322,2
BFA21GEN-R091-Weekday-00_C7,20220323,2
BFA21GEN-R091-Weekday-00_C7,20220324,2
BFA21GEN-R091-Weekday-00_C7,20220530,2
L0S1,20220316,1
L0S2,20220317,1
L0S3,20220318,1
L0S4,20220319,1
L0S5,20220320,1
L0S6,20220321,1
L0S7,20220322,1
L0S8,20220323,1
L0S9,20220324,1
L1S1,20220316,1
L1S1 -1,20220315,1
L1S2,20220317,1
L1S2 -1,20220316,1
L1S3,20220318,1
L1S4,20220321,1
L1S5,20220322,1
L1S6,20220323,1
L1S7,20220324,1
L2S1,20220316,1
L2S2,20220317,1
L2S3,20220318,1
L2S4,20220321,1
L2S5,20220322,1
L2S6,20220323,1
L2S7,20220324,1
L3S1,20220316,1
SIR-FA2017-SI017-Saturday-00,20211224,1
SIR-FA2017-SI017-Saturday-00,20211231,1
SIR-FA2017-SI017-Saturday-00,20220221,1
SIR-FA2017-SI017-Saturday-00_C12,20211224,1
SIR-FA2017-SI017-Saturday-00_C12,20211231,1
SIR-FA2017-SI017-Saturday-00_C12,20220221,1
SIR-FA2017-SI017-Saturday-00_C12,20220319,2
SIR-FA2017-SI017-Sunday-00_C50,20220320,2
SIR-FA2017-SI017-Sunday-00_C50,20220530,1
SIR-FA2017-SI017-Weekday-08,20211224,2
SIR-FA2017-SI017-Weekday-08,20211231,2
SIR-FA2017-SI017-Weekday-08,20220221,2
SIR-FA2017-SI017-Weekday-08,20220530,2
SIR-FA2017-SI017-Weekday-08_C21,20211224,2
SIR-FA2017-SI017-Weekday-08_C21,20211231,2
SIR-FA2017-SI017-Weekday-08_C21,20220221,2
SIR-FA2017-SI017-Weekday-08_C21,20220316,2
SIR-FA2017-SI017-Weekday-08_C21,20220317,2
SIR-FA2017-SI017-Weekday-08_C21,20220318,2
SIR-FA2017-SI017-Weekday-08_C21,20220530,2
