,hex9,accessibility_score,lat,lon
0,892a1000003ffff,0.5055313090958004,40.85841614742273,-73.78192799195212
1,892a1000007ffff,0.616905550003042,40.855825598025675,-73.77969307468001
2,892a100000bffff,0.5055313090958004,40.85830805702854,-73.78621359269067
3,892a100000fffff,0.616905550003042,40.85571758934007,-73.7839784359963
4,892a100001bffff,0.3938092228463043,40.8610067419683,-73.78416316021173
5,892a1000023ffff,0.834610049884183,40.85053678943761,-73.77950887546946
6,892a1000027ffff,0.7747478874408831,40.84794645726825,-73.77727447156602
7,892a100002bffff,1.00393178867539,40.850428785326,-73.78379375345781
8,892a100002fffff,0.9992353714959801,40.84783853482453,-73.78155911019876
9,892a1000033ffff,0.6139493415940283,40.853235093799476,-73.77745840835998
10,892a1000037ffff,0.3894618575389312,40.850644634766425,-73.77522399295653
11,892a100003bffff,0.7832710803852355,40.853127166802324,-73.78174353026772
12,892a1000043ffff,0.50709591166514,40.86079023886115,-73.79273483593417
13,892a1000047ffff,0.618817997914636,40.858199807792595,-73.79049918882814
14,892a100004bffff,0.50709591166514,40.86068174901625,-73.79702066680751
15,892a100004fffff,0.618817997914636,40.858091399715676,-73.79478478031659
16,892a1000053ffff,0.28260842761004296,40.863489127768396,-73.79068465911857
17,892a1000057ffff,0.50709591166514,40.86089856984542,-73.78844900038627
18,892a100005bffff,0.28260842761004296,40.86338071501568,-73.79497073409063
19,892a1000063ffff,0.7832710803852355,40.8529108364014,-73.79031376038515
20,892a1000067ffff,1.00393178867539,40.85032062243234,-73.78807862687373
21,892a100006bffff,0.7301922388218778,40.85280243299919,-73.79459886849897
22,892a100006fffff,1.00393178867539,40.85021230075743,-73.79236349566922
23,892a1000073ffff,0.616905550003042,40.85560942183234,-73.78826379273706
24,892a1000077ffff,0.7832710803852355,40.85301908100271,-73.78602864762541
25,892a100007bffff,0.7301922388218778,40.855501095503286,-73.79254914485429
26,892a10000cfffff,0.16932173879120724,40.86359738164007,-73.78639857949436
27,892a100010bffff,0.1646253216117972,40.84017573215524,-73.77057276487022
28,892a1000143ffff,0.663025801191387,40.84265816943653,-73.77709057626447
29,892a1000147ffff,0.5516515602841453,40.840068054594575,-73.77485668551836
30,892a100014bffff,0.7747478874408831,40.84255025154518,-73.7813747317311
31,892a100014fffff,0.663025801191387,40.83996021833046,-73.77914060169597
32,892a1000153ffff,0.663025801191387,40.84535617031654,-73.77504031852196
33,892a1000157ffff,0.5516515602841453,40.84276592860478,-73.77280641630183
34,892a100015bffff,0.7747478874408831,40.84524832952061,-73.7793247178128
35,892a1000163ffff,0.1646253216117972,40.834780287656294,-73.77467309393167
36,892a100016bffff,0.38528602990195177,40.834672455922934,-73.77895652710495
37,892a100016fffff,0.1646253216117972,40.83208264009462,-73.7767229100825
38,892a1000173ffff,0.1646253216117972,40.837477985017074,-73.77262304553898
39,892a100017bffff,0.5516515602841453,40.837370230360065,-73.77690672244131
40,892a10001cbffff,0.27773977128943533,40.84805422094882,-73.77298982843422
41,892a10001cfffff,0.16636553038219354,40.84546385236897,-73.77075591475759
42,892a1000203ffff,0.6244562416726993,40.85765617901399,-73.8119270988211
43,892a1000207ffff,0.2676654500336001,40.855066201989466,-73.80969050612944
44,892a100020bffff,1.4949959621102946,40.85754697674404,-73.8162126663452
45,892a100020fffff,0.961701328172339,40.85495708156558,-73.81397583441009
46,892a1000213ffff,0.34147914010471797,40.86035532632572,-73.80987813090056
47,892a1000217ffff,0.22692091433277187,40.85776522244693,-73.80764152640826
48,892a100021bffff,1.2646378637280102,40.86024620104624,-73.8141639425961
49,892a1000223ffff,0.37103960786601997,40.84977742626076,-73.80950292368897
50,892a1000227ffff,0.27339108224915665,40.84718766617908,-73.80726684483206
51,892a100022bffff,1.2160348738686841,40.8496683106913,-73.81378776866373
52,892a100022fffff,0.9716194081106421,40.84707863241495,-73.81155145062988
53,892a1000233ffff,0.21093521443569907,40.852476269995,-73.80745416448562
54,892a100023bffff,0.5989465000583096,40.85236723139704,-73.81173925353652
55,892a1000243ffff,3.1023224827849747,40.86002747391817,-73.82273555119616
56,892a1000247ffff,2.663117875860219,40.85743761563791,-73.82049822893259
57,892a100024bffff,3.6683717856627087,40.85991787207121,-73.82702134800479
58,892a100024fffff,2.9711102716692706,40.85732809569635,-73.82478378653535
59,892a1000253ffff,2.5890432510805312,40.862726902041466,-73.82068708354174
60,892a1000257ffff,2.1336354515471134,40.860136916910115,-73.81844974937725
61,892a100025bffff,3.674181406498366,40.8626173771436,-73.82497312460576
62,892a1000263ffff,2.49258202374691,40.85214867781109,-73.82030941693367
63,892a1000267ffff,2.777384427774716,40.84955903634535,-73.81807260873057
64,892a100026bffff,3.086147637467488,40.85203916282473,-73.82459449118411
