,betweenness,lon,lat,num_departures,num_departures_scaled,accessibility_score,route_type,hex9
1,1.0006269506542602,-73.977056,40.752998,18950,3.5,4.50062695065426,2,892a100d62bffff
10,1.0000007999738512,-73.91312,40.862248,2093,1.2761213720316622,2.2761221720055134,2,892a100a127ffff
100,1.0002403740936372,-73.57145,41.637525,1118,1.1474934036939315,2.1477337777875687,2,892a1478567ffff
100014,1.131530658470685,-73.888156,40.872562,299,1.0394459102902374,2.1709765687609224,3,892a100120fffff
100017,1.0294064206332685,-73.88971,40.876836,644,1.0849604221635885,2.1143668427968567,3,892a100121bffff
100018,1.0439797206390897,-73.886081,40.880392,644,1.0849604221635885,2.128940142802678,3,892a10012c7ffff
100019,1.2474595940726583,-73.929489,40.813496,379,1.05,2.2974595940726585,3,892a100ab3bffff
100020,1.0,-73.928001,40.816812,154,1.020316622691293,2.020316622691293,3,892a100ab17ffff
100021,1.2821599837470807,-73.927096,40.818856,736,1.0970976253298153,2.379257609076896,3,892a100ab17ffff
100022,1.0029177344835278,-73.925751,40.821103,511,1.0674142480211082,2.0703319825046362,3,892a100ab8fffff
100025,1.2677812475673302,-73.922795,40.826453,736,1.0970976253298153,2.3648788728971457,3,892a100ab9bffff
100026,1.0,-73.921328,40.828837,511,1.0674142480211082,2.067414248021108,3,892a100a867ffff
100027,1.254580955749089,-73.919938,40.831317,736,1.0970976253298153,2.3516785810789043,3,892a100a877ffff
100028,1.0,-73.918555,40.833276,511,1.0674142480211082,2.067414248021108,3,892a100a80fffff
100029,1.2446385493992969,-73.917133,40.834762,736,1.0970976253298153,2.341736174729112,3,892a100a80fffff
100030,1.0,-73.915371,40.83657,511,1.0674142480211082,2.067414248021108,3,892a100a803ffff
100033,1.226836131394418,-73.911556,40.843511,736,1.0970976253298153,2.3239337567242333,3,892a100a89bffff
100035,1.0005760298003046,-73.908556,40.846739,511,1.0674142480211082,2.067990277821413,3,892a100ac67ffff
100038,1.0,-73.904494,40.85093,511,1.0674142480211082,2.067414248021108,3,892a100ac77ffff
100039,1.2081558512682022,-73.903564,40.852087,736,1.0970976253298153,2.3052534765980175,3,892a100ac0fffff
100040,1.008357761499366,-73.902245,40.853719,511,1.0674142480211082,2.075772009520474,3,892a100ac03ffff
100041,1.0025618829098202,-73.900358,40.856254,511,1.0674142480211082,2.0699761309309284,3,892a100ac03ffff
100044,1.0045208215783568,-73.897865,40.860569,511,1.0674142480211082,2.0719350695994647,3,892a100ac8bffff
100045,1.1947251394072589,-73.896368,40.863097,736,1.0970976253298153,2.2918227647370744,3,892a100ac9bffff
100047,1.1841343721021413,-73.893861,40.866343,736,1.0970976253298153,2.2812319974319566,3,892a1001267ffff
100048,1.002442614935541,-73.892542,40.868079,511,1.0674142480211082,2.069856862956649,3,892a1001277ffff
100049,1.0007372843178863,-73.89042,40.870243,511,1.0674142480211082,2.0681515323389945,3,892a100120fffff
100052,1.0003219125154135,-73.88551,40.876301,511,1.0674142480211082,2.067736160536522,3,892a1001213ffff
100053,1.0529382909116933,-73.884754,40.878054,778,1.1026385224274406,2.1555768133391338,3,892a1001213ffff
100054,1.1969685003588426,-73.8856,40.879494,1003,1.1323218997361477,2.3292904000949903,3,892a100128bffff
100055,1.0,-73.885902,40.880437,511,1.0674142480211082,2.067414248021108,3,892a10012c7ffff
100056,1.0886908924845664,-73.887474,40.882915,1120,1.1477572559366755,2.2364481484212417,3,892a10012d7ffff
100057,1.0632075596069412,-73.891351,40.882463,1120,1.1477572559366755,2.210964815543617,3,892a10012c3ffff
100058,1.02280961455655,-73.893361,40.882827,736,1.0970976253298153,2.1199072398863654,3,892a10012cbffff
100059,1.0164703542352114,-73.895187,40.882691,736,1.0970976253298153,2.1135679795650266,3,892a10012cbffff
100060,1.0102400233776205,-73.896698,40.880925,736,1.0970976253298153,2.1073376487074356,3,892a1001253ffff
100061,1.0047402514891586,-73.897918,40.878651,736,1.0970976253298153,2.1018378768189736,3,892a1001253ffff
100062,1.0047996363274694,-73.901519,40.877891,389,1.0513192612137203,2.0561188975411895,3,892a100125bffff
